Ship,Cruise,DateUTC,TimeUTC,Station,Cast,LongDeg,LongMin,LongHem,LatDeg,LatMin,LatHem,Longitude,Latitude,WaterDepthM,SampleDepthM,Bottom_OxMgL,Temperature,Fluorescence
OREGON II,282,6/25/2008,11:23 PM,105,0,94,47.4198,W,29,12.6702,N,-94.790330,29.211170,0,12.2,1.39258,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/105C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/105C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/26/2008,01:06 AM,106,0,94,42.3702,W,29,13.8102,N,-94.706170,29.230170,0,13.6,1.79021,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/106C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/106C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/26/2008,04:29 AM,107,0,94,52.5702,W,28,50.0100,N,-94.876170,28.833500,0,20.3,0.94313,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/107C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/107C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/26/2008,07:31 AM,108,0,95,7.7598,W,28,35.7498,N,-95.129330,28.595830,0,29.3,1.13901,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/108C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/108C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/26/2008,09:58 AM,109,0,95,7.9002,W,28,32.5398,N,-95.131670,28.542330,0,30.9,1.67828,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/109C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/109C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/26/2008,11:43 AM,110,0,95,5.5200,W,28,30.7398,N,-95.092000,28.512330,0,32.9,2.47274,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/110C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/110C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/26/2008,03:29 PM,111,0,95,1.4700,W,28,43.8900,N,-95.024500,28.731500,0,23.5,3.41502,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/111C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/111C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/26/2008,06:16 PM,112,0,94,59.9202,W,29,0.3000,N,-94.998670,29.005000,0,17.1,3.19789,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/112C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/112C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/26/2008,11:56 PM,113,0,95,23.2800,W,28,46.6200,N,-95.388000,28.777000,0,15.5,4.74204,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/113C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/113C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/27/2008,12:52 AM,114,0,95,28.1502,W,28,45.4200,N,-95.469170,28.757000,0,12.2,5.74035,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/114C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/114C01_proc_flS_xmiss_density.jpg
