year,zone,data_available,n_stations,mean_O2,median_O2,std_O2,min_O2,max_O2,n_hypoxic,percent_hypoxic,n_severe_hypoxic,percent_severe_hypoxic,estimated_hypoxic_area_km2,mean_depth,median_depth,lon_min,lon_max,lat_min,lat_max,lon_range,lat_range
2015,Zone2,True,62,4.493106451612904,4.59605,0.7708526415857064,1.6368,5.9564,1.0,1.6129032258064515,0.0,0.0,0.0,51.188709677419354,42.0,-92.996,-89.0195,28.003167,29.489167,3.9765000000000015,1.485999999999997
2015,Zone3,True,41,5.327343902439024,5.6744,1.0385845565115968,2.1741,6.6659,0.0,0.0,0.0,0.0,0.0,36.74634146341464,34.2,-88.998833,-83.808333,28.437667,30.063167,5.1905,1.6254999999999988
2016,Zone1,True,150,3.4984534,3.8101000000000003,1.8179692343436142,0.0388,6.6011,37.0,24.666666666666668,21.0,14.000000000000002,37273.25856863844,38.60733333333334,28.8,-97.260833,-93.0035,25.991,29.633167,4.257333000000003,3.6421670000000006
2016,Zone2,True,69,4.022201449275361,4.1297,1.3028345110128545,0.0534,5.9908,6.0,8.695652173913043,4.0,5.797101449275362,4023.053402775435,52.143478260869564,51.0,-92.997833,-89.032167,27.9915,29.394,3.965665999999999,1.4024999999999999
2016,Zone3,True,59,5.628562711864406,6.0495,1.183279468242787,2.5584,7.2878,0.0,0.0,0.0,0.0,0.0,29.944067796610167,24.8,-88.998333,-83.391333,28.861167,30.329833,5.606999999999999,1.4686660000000025
2017,Zone1,True,109,4.214960550458716,4.1128,1.2008897540156191,0.8487,6.4006,5.0,4.587155963302752,1.0,0.9174311926605505,5728.991445380289,39.541926605504585,32.4,-97.2035,-93.147833,26.021,29.547,4.055667,3.526
2017,Zone2,True,36,4.661724999999999,4.5647,0.7016737082046856,3.3374,5.686,0.0,0.0,0.0,0.0,0.0,50.275000000000006,53.900000000000006,-92.983167,-90.311333,28.0845,29.510833,2.67183399999999,1.4263330000000032
2017,Zone3,True,51,4.704590196078431,4.9417,0.7567672543800775,2.6885,5.6787,0.0,0.0,0.0,0.0,0.0,32.46764705882353,29.0,-88.930833,-83.352833,28.331667,30.308167,5.578000000000003,1.9765000000000015
2018,Zone1,True,83,5.210606024096386,5.4284,1.0633112711494745,1.8186,6.5569,1.0,1.2048192771084338,0.0,0.0,0.0,37.057228915662655,30.9,-97.26933333,-93.04783333,26.03533333,29.61183333,4.221499999999992,3.5764999999999993
2018,Zone2,True,29,3.716558620689654,3.8993,1.6208457696341396,0.2584,5.8083,4.0,13.793103448275861,4.0,13.793103448275861,2058.959596763339,45.04137931034484,42.5,-92.96416667,-89.17933333,28.18866667,29.57066667,3.7848333399999916,1.3820000000000014
2018,Zone3,True,21,5.123885714285714,5.1982,0.7977122258594979,3.5418,6.3283,0.0,0.0,0.0,0.0,0.0,39.75238095238095,34.2,-88.92966667,-85.10816667,29.14333333,30.33466667,3.8215000000000003,1.19133334
2019,Zone1,True,97,3.5364505154639176,3.9272,1.6459184089060346,0.0,5.9664,20.0,20.618556701030926,8.0,8.24742268041237,19474.705603772625,39.76288659793814,32.7,-97.32916667,-93.019,26.07833333,29.62783333,4.310166670000001,3.549500000000002
